ID,REGION,SITE,SITE_CODE,BLOCK,PROV,TREE,SEROT,COMBIN2,COMBIN3,com2sub,com3sub
14392,8,146,BAKR,1,71,1,0,BAKR:71,BAKR:71:1,4,2
14397,8,146,BAKR,1,71,6,1,BAKR:71,BAKR:71:1,4,2
14933,8,146,BAKR,2,71,2,0,BAKR:71,BAKR:71:2,4,2
14938,8,146,BAKR,2,71,7,0,BAKR:71,BAKR:71:2,4,2
23077,9,154,BART,1,100,1,1,BART:100,BART:100:1,4,2
23078,9,154,BART,1,100,2,1,BART:100,BART:100:1,4,2
23622,9,154,BART,2,100,6,1,BART:100,BART:100:2,4,2
23623,9,154,BART,2,100,7,1,BART:100,BART:100:2,4,2
23101,9,154,BART,1,102,7,1,BART:102,BART:102:1,4,2
23102,9,154,BART,1,102,8,1,BART:102,BART:102:1,4,2
23638,9,154,BART,2,102,4,1,BART:102,BART:102:2,4,2
23640,9,154,BART,2,102,6,1,BART:102,BART:102:2,4,2
22908,9,154,BART,1,55,3,1,BART:55,BART:55:1,4,2
22909,9,154,BART,1,55,4,1,BART:55,BART:55:1,4,2
23452,9,154,BART,2,55,7,1,BART:55,BART:55:2,4,2
23453,9,154,BART,2,55,8,1,BART:55,BART:55:2,4,2
23055,9,154,BART,1,88,6,1,BART:88,BART:88:1,4,2
23056,9,154,BART,1,88,7,1,BART:88,BART:88:1,4,2
23590,9,154,BART,2,88,1,1,BART:88,BART:88:2,4,2
23592,9,154,BART,2,88,3,1,BART:88,BART:88:2,4,2
276,2,116,BISN,1,69,6,0,BISN:69,BISN:69:1,4,2
277,2,116,BISN,1,69,7,1,BISN:69,BISN:69:1,4,2
811,2,116,BISN,2,69,1,1,BISN:69,BISN:69:2,4,2
818,2,116,BISN,2,69,8,0,BISN:69,BISN:69:2,4,2
23781,10,155,BLAC,1,14,3,1,BLAC:14,BLAC:14:1,4,2
23782,10,155,BLAC,1,14,4,1,BLAC:14,BLAC:14:1,4,2
24323,10,155,BLAC,2,14,5,1,BLAC:14,BLAC:14:2,4,2
24327,10,155,BLAC,2,14,9,1,BLAC:14,BLAC:14:2,4,2
23811,10,155,BLAC,1,18,6,1,BLAC:18,BLAC:18:1,4,2
23813,10,155,BLAC,1,18,8,0,BLAC:18,BLAC:18:1,4,2
24347,10,155,BLAC,2,18,2,1,BLAC:18,BLAC:18:2,4,2
24353,10,155,BLAC,2,18,8,1,BLAC:18,BLAC:18:2,4,2
23857,10,155,BLAC,1,23,7,1,BLAC:23,BLAC:23:1,4,2
23859,10,155,BLAC,1,23,9,1,BLAC:23,BLAC:23:1,4,2
24395,10,155,BLAC,2,23,5,1,BLAC:23,BLAC:23:2,4,2
24397,10,155,BLAC,2,23,7,1,BLAC:23,BLAC:23:2,4,2
24027,10,155,BLAC,1,58,6,0,BLAC:58,BLAC:58:1,4,2
24028,10,155,BLAC,1,58,7,0,BLAC:58,BLAC:58:1,4,2
24567,10,155,BLAC,2,58,6,0,BLAC:58,BLAC:58:2,4,2
24568,10,155,BLAC,2,58,7,0,BLAC:58,BLAC:58:2,4,2
25321,10,156,CARP,1,140,4,1,CARP:140,CARP:140:1,4,2
25323,10,156,CARP,1,140,6,1,CARP:140,CARP:140:1,4,2
25858,10,156,CARP,2,140,1,1,CARP:140,CARP:140:2,4,2
25863,10,156,CARP,2,140,6,1,CARP:140,CARP:140:2,4,2
25222,10,156,CARP,1,96,4,1,CARP:96,CARP:96:1,4,2
25226,10,156,CARP,1,96,8,1,CARP:96,CARP:96:1,4,2
25759,10,156,CARP,2,96,1,0,CARP:96,CARP:96:2,4,2
25761,10,156,CARP,2,96,3,1,CARP:96,CARP:96:2,4,2
15346,8,147,CMP4,1,51,1,0,CMP4:51,CMP4:51:1,4,2
15348,8,147,CMP4,1,51,3,1,CMP4:51,CMP4:51:1,4,2
15887,8,147,CMP4,2,51,2,1,CMP4:51,CMP4:51:2,4,2
15891,8,147,CMP4,2,51,6,1,CMP4:51,CMP4:51:2,4,2
2615,3,121,COMM,1,144,5,1,COMM:144,COMM:144:1,4,2
2617,3,121,COMM,1,144,7,1,COMM:144,COMM:144:1,4,2
3158,3,121,COMM,2,144,8,1,COMM:144,COMM:144:2,4,2
3159,3,121,COMM,2,144,9,1,COMM:144,COMM:144:2,4,2
2236,3,121,COMM,1,24,4,1,COMM:24,COMM:24:1,4,2
2241,3,121,COMM,1,24,9,1,COMM:24,COMM:24:1,4,2
2776,3,121,COMM,2,24,4,1,COMM:24,COMM:24:2,4,2
2777,3,121,COMM,2,24,5,1,COMM:24,COMM:24:2,4,2
13322,6,139,CUIS,1,106,2,0,CUIS:106,CUIS:106:1,4,2
13323,6,139,CUIS,1,106,3,1,CUIS:106,CUIS:106:1,4,2
13861,6,139,CUIS,2,106,1,0,CUIS:106,CUIS:106:2,4,2
13867,6,139,CUIS,2,106,7,0,CUIS:106,CUIS:106:2,4,2
4388,3,124,EQUI,1,20,5,0,EQUI:20,EQUI:20:1,4,2
4392,3,124,EQUI,1,20,9,0,EQUI:20,EQUI:20:1,4,2
4930,3,124,EQUI,2,20,7,0,EQUI:20,EQUI:20:2,4,2
4932,3,124,EQUI,2,20,9,1,EQUI:20,EQUI:20:2,4,2
4484,3,124,EQUI,1,45,2,1,EQUI:45,EQUI:45:1,4,2
4486,3,124,EQUI,1,45,4,1,EQUI:45,EQUI:45:1,4,2
5025,3,124,EQUI,2,45,3,1,EQUI:45,EQUI:45:2,4,2
5028,3,124,EQUI,2,45,6,1,EQUI:45,EQUI:45:2,4,2
19761,9,151,FRAS,1,71,6,1,FRAS:71,FRAS:71:1,4,2
19762,9,151,FRAS,1,71,7,1,FRAS:71,FRAS:71:1,4,2
20297,9,151,FRAS,2,71,2,1,FRAS:71,FRAS:71:2,4,2
20303,9,151,FRAS,2,71,8,1,FRAS:71,FRAS:71:2,4,2
9734,6,136,HOLD,1,13,5,0,HOLD:13,HOLD:13:1,4,2
9736,6,136,HOLD,1,13,7,0,HOLD:13,HOLD:13:1,4,2
10271,6,136,HOLD,2,13,2,0,HOLD:13,HOLD:13:2,4,2
10276,6,136,HOLD,2,13,7,0,HOLD:13,HOLD:13:2,4,2
12061,6,138,KLOK,1,51,1,1,KLOK:51,KLOK:51:1,4,2
12067,6,138,KLOK,1,51,7,0,KLOK:51,KLOK:51:1,4,2
12602,6,138,KLOK,2,51,2,0,KLOK:51,KLOK:51:2,4,2
12607,6,138,KLOK,2,51,7,0,KLOK:51,KLOK:51:2,4,2
10829,6,137,MONS,1,15,2,1,MONS:15,MONS:15:1,4,2
10830,6,137,MONS,1,15,3,1,MONS:15,MONS:15:1,4,2
11369,6,137,MONS,2,15,2,1,MONS:15,MONS:15:2,4,2
11376,6,137,MONS,2,15,9,1,MONS:15,MONS:15:2,4,2
10838,6,137,MONS,1,16,2,1,MONS:16,MONS:16:1,4,2
10841,6,137,MONS,1,16,5,0,MONS:16,MONS:16:1,4,2
11377,6,137,MONS,2,16,1,0,MONS:16,MONS:16:2,4,2
11379,6,137,MONS,2,16,3,1,MONS:16,MONS:16:2,4,2
11095,6,137,MONS,1,70,7,1,MONS:70,MONS:70:1,4,2
11096,6,137,MONS,1,70,8,1,MONS:70,MONS:70:1,4,2
11632,6,137,MONS,2,70,4,0,MONS:70,MONS:70:2,4,2
11634,6,137,MONS,2,70,6,1,MONS:70,MONS:70:2,4,2
16274,8,148,NECK,1,20,2,1,NECK:20,NECK:20:1,4,2
16280,8,148,NECK,1,20,8,1,NECK:20,NECK:20:1,4,2
16817,8,148,NECK,2,20,5,1,NECK:20,NECK:20:2,4,2
16818,8,148,NECK,2,20,6,1,NECK:20,NECK:20:2,4,2
16302,8,148,NECK,1,23,3,1,NECK:23,NECK:23:1,4,2
16306,8,148,NECK,1,23,7,1,NECK:23,NECK:23:1,4,2
16842,8,148,NECK,2,23,3,1,NECK:23,NECK:23:2,4,2
16845,8,148,NECK,2,23,6,1,NECK:23,NECK:23:2,4,2
27445,10,159,SAMN,1,106,4,1,SAMN:106,SAMN:106:1,4,2
27449,10,159,SAMN,1,106,8,1,SAMN:106,SAMN:106:1,4,2
27985,10,159,SAMN,2,106,4,1,SAMN:106,SAMN:106:2,4,2
27989,10,159,SAMN,2,106,8,1,SAMN:106,SAMN:106:2,4,2
27370,10,159,SAMN,1,96,1,1,SAMN:96,SAMN:96:1,4,2
27372,10,159,SAMN,1,96,3,1,SAMN:96,SAMN:96:1,4,2
27910,10,159,SAMN,2,96,1,1,SAMN:96,SAMN:96:2,4,2
27912,10,159,SAMN,2,96,3,1,SAMN:96,SAMN:96:2,4,2
5405,5,131,TIMY,1,1,5,1,TIMY:1,TIMY:1:1,4,2
5406,5,131,TIMY,1,1,6,0,TIMY:1,TIMY:1:1,4,2
5941,5,131,TIMY,2,1,1,1,TIMY:1,TIMY:1:2,4,2
5944,5,131,TIMY,2,1,4,1,TIMY:1,TIMY:1:2,4,2
5871,5,131,TIMY,1,144,3,0,TIMY:144,TIMY:144:1,4,2
5876,5,131,TIMY,1,144,8,0,TIMY:144,TIMY:144:1,4,2
6410,5,131,TIMY,2,144,2,1,TIMY:144,TIMY:144:2,4,2
6412,5,131,TIMY,2,144,4,0,TIMY:144,TIMY:144:2,4,2
5631,5,131,TIMY,1,57,6,0,TIMY:57,TIMY:57:1,4,2
5632,5,131,TIMY,1,57,7,0,TIMY:57,TIMY:57:1,4,2
6167,5,131,TIMY,2,57,2,0,TIMY:57,TIMY:57:2,4,2
6170,5,131,TIMY,2,57,5,0,TIMY:57,TIMY:57:2,4,2
8646,5,134,TUYA,1,1,6,1,TUYA:1,TUYA:1:1,4,2
8649,5,134,TUYA,1,1,9,1,TUYA:1,TUYA:1:1,4,2
9182,5,134,TUYA,2,1,2,1,TUYA:1,TUYA:1:2,4,2
9186,5,134,TUYA,2,1,6,1,TUYA:1,TUYA:1:2,4,2
8679,5,134,TUYA,1,15,3,1,TUYA:15,TUYA:15:1,4,2
